Symptom,Synonym
mild bleeding,minor blood loss
mild bleeding,slight blood loss
mild bleeding,minimal blood flow
mild discomfort,slight discomfort
mild discomfort,minor discomfort
mild discomfort,slight unease
mild discomfort,minimal discomfort
mild discomfort,minor uneasiness
mild discomfort,low grade discomfort
mild discomfort,subtle discomfort
mild discomfort,light discomfort
mild fever,low grade fever
mild fever,slight fever
mild fever,low temperature rise
mild fever,mild pyrexia
mild fever,low intensity fever
mild fever,slight temperature elevation
mild fever,low fever
mild fever,minimal fever
misplaced items,misplacing objects
misplaced items,losing items
misplaced items,frequent misplacement
misplaced items,forgetting item location
misplaced items,losing belongings
misplaced items,object misplacement
misplaced items,misplaced belongings
misplaced items,losing personal items
mood changes,emotional changes
mood changes,mood fluctuations
mood changes,emotional shifts
mood changes,mood variability
mood changes,altered mood
mood changes,emotional instability
mood changes,mood variation
mood changes,affective changes
mood swings,rapid mood shifts
mood swings,sudden mood changes
mood swings,emotional ups and downs
mood swings,fluctuating emotions
mood swings,emotional swings
mood swings,unstable mood
mood swings,alternating moods
mood swings,shifting emotions
morning headache,early morning headache
morning headache,waking headache
morning headache,headache on waking
morning headache,dawn headache
morning headache,morning head pain
morning headache,early day headache
morning headache,sleep related headache
morning headache,post sleep headache
morning stiffness,early morning stiffness
morning stiffness,stiffness on waking
morning stiffness,waking stiffness
morning stiffness,joint stiffness morning
morning stiffness,prolonged morning stiffness
morning stiffness,morning joint rigidity
morning stiffness,stiffness after sleep
morning stiffness,a.m. stiffness
mouth breathing,oral breathing
mouth breathing,breathing through mouth
mouth breathing,open mouth breathing
mouth breathing,habitual oral respiration
mouth breathing,nasal bypass breathing
mouth breathing,mouth inhalation
mouth breathing,oral airflow
mouth breathing,mouth respiration
mouth sores,oral ulcers
mouth sores,canker sores
mouth sores,aphthous ulcers
mouth sores,oral lesions
mouth sores,ulcerated mouth
mouth sores,painful oral lesions
mouth sores,stomatitis
mouth sores,mouth ulcerations
mucus discharge,mucous discharge
mucus discharge,mucosal secretion
mucus discharge,sticky discharge
mucus discharge,thick secretion
mucus discharge,slimy discharge
mucus discharge,mucoid secretion
mucus discharge,phlegmy discharge
mucus discharge,gelatinous discharge
mucus in stool,mucous stools
mucus in stool,slimy stools
mucus in stool,mucoid feces
mucus in stool,stool mucus
mucus in stool,mucus coated stool
mucus in stool,gelatinous stool
mucus in stool,sticky stool
mucus in stool,bowel mucus
mucus production,excess mucus
mucus production,increased mucus
mucus production,mucus overproduction
mucus production,mucous buildup
mucus production,phlegm production
mucus production,respiratory mucus
mucus production,mucus secretion
mucus production,heavy mucus
muscle aches,muscular soreness
muscle aches,myalgia
muscle aches,sore muscles
muscle aches,diffuse muscle pain
muscle aches,body muscle pain
muscle aches,aching muscles
muscle aches,muscle discomfort
muscle aches,generalized myalgia
muscle cramps,muscular spasms
muscle cramps,muscle tightening
muscle cramps,painful muscle spasms
muscle cramps,involuntary muscle contraction
muscle cramps,cramping pain
muscle cramps,spastic muscle pain
muscle cramps,sudden muscle tightening
muscle cramps,muscle contracture
muscle pain,myofascial pain
muscle pain,muscular pain
muscle pain,painful muscles
muscle pain,muscle tenderness
muscle pain,deep muscle ache
muscle pain,localized myalgia
muscle pain,muscle soreness pain
muscle pain,muscle discomfort
muscle rigidity,muscular rigidity
muscle rigidity,stiff muscles
muscle rigidity,muscle stiffness
muscle rigidity,increased muscle tone
muscle rigidity,rigid musculature
muscle rigidity,muscle inflexibility
muscle rigidity,hypertonia
muscle rigidity,persistent stiffness
muscle tightness,muscular tightness
muscle tightness,tight muscles
muscle tightness,muscle tension
muscle tightness,muscle stiffness sensation
muscle tightness,muscle constriction
muscle tightness,taut muscles
muscle tightness,muscle tension pain
muscle tightness,restricted muscle movement
muscle weakness,muscular weakness
muscle weakness,reduced muscle strength
muscle weakness,weak muscles
muscle weakness,diminished muscle power
muscle weakness,decreased muscle strength
muscle weakness,muscle fatigue
muscle weakness,poor muscle strength
muscle weakness,loss muscle strength
nail changes,nail abnormalities
nail changes,altered nails
nail changes,nail deformities
nail changes,nail alterations
nail changes,abnormal nail appearance
nail changes,nail irregularities
nail changes,nail texture changes
nail changes,nail discoloration changes
nail crumbling,brittle nails
nail crumbling,crumbly nails
nail crumbling,nail fragmentation
nail crumbling,nail deterioration
nail crumbling,friable nails
nail crumbling,nail breaking
nail crumbling,fragile nails
nail crumbling,nail disintegration
nail fold redness,periungual redness
nail fold redness,inflamed nail fold
nail fold redness,nail fold erythema
nail fold redness,red cuticle area
nail fold redness,nail margin redness
nail fold redness,irritated nail fold
nail fold redness,swollen nail fold
nail fold redness,nail border inflammation
nail odor,foul nail smell
nail odor,unpleasant nail odor
nail odor,malodorous nails
nail odor,nail smell
nail odor,fungal nail odor
nail odor,infected nail smell
nail odor,nail stench
nail odor,nail malodor
nail pitting,pitted nails
nail pitting,nail depressions
nail pitting,nail surface pits
nail pitting,punctate nail depressions
nail pitting,nail indentations
nail pitting,nail surface irregularities
nail pitting,nail dimpling
nail pitting,rough nail surface
nail separation,onycholysis
nail separation,lifted nail
nail separation,nail detachment
nail separation,nail lifting
nail separation,separated nail plate
nail separation,nail loosening
nail separation,partial nail detachment
nail separation,nail plate separation
nasal congestion,congested nose
nasal congestion,nasal stuffiness
nasal congestion,sinus congestion
nasal congestion,nasal swelling
nasal congestion,swollen nasal passages
nasal congestion,nasal fullness
nasal congestion,mucus congestion
nasal congestion,rhinitis
nausea,queasiness
nausea,upset stomach
nausea,stomach unease
nausea,urge to vomit
nausea,gastric discomfort
nausea,sick feeling
nausea,nausea sensation
nausea,retching sensation
neck discomfort,cervical discomfort
neck discomfort,neck uneasiness
neck discomfort,neck soreness
neck discomfort,cervical soreness
neck discomfort,neck irritation
neck discomfort,upper neck discomfort
neck discomfort,neck tenderness
neck discomfort,cervical unease
neck pain,cervical pain
neck pain,neck ache
neck pain,painful neck
neck pain,cervical ache
neck pain,stiff neck pain
neck pain,upper spine pain
neck pain,neck soreness
neck pain,neck strain
neck stiffness,stiff neck
neck stiffness,cervical stiffness
neck stiffness,neck rigidity
neck stiffness,reduced neck mobility
neck stiffness,limited neck movement
neck stiffness,neck tightness
neck stiffness,restricted neck motion
neck stiffness,cervical rigidity
need reassurance,reassurance seeking
need reassurance,constant reassurance
need reassurance,validation seeking
need reassurance,approval seeking
need reassurance,excessive reassurance
need reassurance,need validation
need reassurance,dependency reassurance
need reassurance,reassurance dependence
night shoulder pain,nocturnal shoulder pain
night shoulder pain,shoulder pain at night
night shoulder pain,nighttime shoulder ache
night shoulder pain,shoulder ache at night
night shoulder pain,nocturnal shoulder ache
night shoulder pain,shoulder discomfort at night
night shoulder pain,nighttime shoulder discomfort
night shoulder pain,night time shoulder pain
night stomach pain,nocturnal abdominal pain
night stomach pain,stomach pain at night
night stomach pain,nighttime gastric pain
night stomach pain,abdominal pain at night
night stomach pain,nocturnal gastric discomfort
night stomach pain,nighttime belly pain
night stomach pain,night epigastric pain
night stomach pain,stomach ache at night
night sweating,nocturnal sweating
night sweating,nighttime perspiration
night sweating,sleep sweating
night sweating,nocturnal perspiration
night sweating,drenching night sweats
night sweating,excessive night sweating
night sweating,sweating during sleep
night sweating,profuse nighttime sweating
night sweats,nocturnal sweating
night sweats,excessive nighttime sweating
night sweats,sleep sweating
night sweats,profuse night perspiration
night sweats,nighttime perspiration
night sweats,sweating during sleep
night sweats,drenching sweats
night sweats,nocturnal perspiration
night tingling,nocturnal tingling
night tingling,nighttime paresthesia
night tingling,tingling at night
night tingling,nocturnal numbness
night tingling,pins needles night
night tingling,night sensory tingling
night tingling,nighttime limb tingling
night tingling,night nerve tingling
night urination,nocturia
night urination,urination at night
night urination,nighttime urination
night urination,frequent nighttime voiding
night urination,night time urination
night urination,sleep interruption urination
night urination,increased nighttime urination
night urination,nighttime urinary frequency
nosebleeds,epistaxis
nosebleeds,nasal bleeding
nosebleeds,bleeding nose
nosebleeds,spontaneous nasal bleeding
nosebleeds,recurrent nosebleeds
nosebleeds,frequent nasal bleeding
nosebleeds,anterior nasal bleed
nosebleeds,nasal hemorrhage
numb fingers,digital numbness
numb fingers,finger tingling
numb fingers,reduced finger sensation
numb fingers,finger hypoesthesia
numb fingers,sensory loss fingers
numb fingers,finger paresthesia
numb fingers,numb fingertips
numb fingers,finger sensory deficit
numb hands,hand numbness
numb hands,reduced hand sensation
numb hands,hand hypoesthesia
numb hands,sensory loss hands
numb hands,hand paresthesia
numb hands,numb palms
numb hands,diminished hand sensation
numb hands,hand sensory deficit
numbness,hypoesthesia
numbness,sensory loss
numbness,reduced sensation
numbness,loss of feeling
numbness,paresthesia
numbness,tingling sensation
numbness,diminished sensitivity
numbness,altered sensation
one sided blockage,unilateral obstruction
one sided blockage,single side blockage
one sided blockage,unilateral nasal obstruction
one sided blockage,one side congestion
one sided blockage,asymmetric blockage
one sided blockage,unilateral occlusion
one sided blockage,partial side obstruction
one sided blockage,single nostril blockage
one sided pain,unilateral pain
one sided pain,single side pain
one sided pain,localized side pain
one sided pain,lateralized pain
one sided pain,asymmetric pain
one sided pain,side specific pain
one sided pain,hemibody pain
one sided pain,unilateral discomfort
one sided weakness,unilateral weakness
one sided weakness,hemiparesis
one sided weakness,single side weakness
one sided weakness,lateralized weakness
one sided weakness,one sided muscle weakness
one sided weakness,asymmetric weakness
one sided weakness,partial body weakness
one sided weakness,hemibody weakness
oozing lesions,exudative lesions
oozing lesions,weeping sores
oozing lesions,draining lesions
oozing lesions,moist lesions
oozing lesions,seeping sores
oozing lesions,fluid leaking lesions
oozing lesions,crusting exudative lesions
oozing lesions,suppurative lesions
open sore,ulcer
open sore,skin ulcer
open sore,raw lesion
open sore,exposed wound
open sore,nonhealing ulcer
open sore,ulcerated lesion
open sore,surface wound
open sore,skin erosion
outer elbow pain,lateral elbow pain
outer elbow pain,tennis elbow
outer elbow pain,lateral epicondylitis
outer elbow pain,elbow lateral pain
outer elbow pain,painful outer elbow
outer elbow pain,elbow side pain
outer elbow pain,lateral arm pain
outer elbow pain,elbow extensor pain
pain after fatty meals,postprandial fatty pain
pain after fatty meals,gallbladder pain
pain after fatty meals,biliary colic
pain after fatty meals,fatty food intolerance pain
pain after fatty meals,post fatty meal pain
pain after fatty meals,right upper quadrant pain
pain after fatty meals,digestive fat pain
pain after fatty meals,postprandial biliary pain
pain after meals,postprandial pain
pain after meals,stomach pain after eating
pain after meals,meal related pain
pain after meals,post eating pain
pain after meals,digestive pain
pain after meals,gastric post meal pain
pain after meals,abdominal pain after food
pain after meals,meal induced pain
pain bending,bending pain
pain bending,pain with flexion
pain bending,movement related pain
pain bending,flexion pain
pain bending,positional pain
pain bending,activity induced pain
pain bending,pain during bending
pain bending,bending discomfort
pain during sex,dyspareunia
pain during sex,painful intercourse
pain during sex,coital pain
pain during sex,sexual discomfort
pain during sex,intercourse pain
pain during sex,genital pain intercourse
pain during sex,pelvic pain intercourse
pain during sex,intimacy pain
pain first steps,start up pain
pain first steps,initial step pain
pain first steps,heel start pain
pain first steps,morning step pain
pain first steps,weight bearing pain
pain first steps,plantar fasciitis pain
pain first steps,early step pain
pain first steps,first step discomfort
pain gripping,grip pain
pain gripping,hand grip pain
pain gripping,gripping discomfort
pain gripping,grasping pain
pain gripping,pain with gripping
pain gripping,hand strain pain
pain gripping,finger grip pain
pain gripping,gripping induced pain
pain lifting,lifting pain
pain lifting,pain with lifting
pain lifting,load bearing pain
pain lifting,exertional pain
pain lifting,strain related pain
pain lifting,lifting discomfort
pain lifting,mechanical pain
pain lifting,activity related pain
pain on bending,flexion discomfort
pain on bending,pain during flexion
pain on bending,bending induced discomfort
pain on bending,positional discomfort
pain on bending,movement triggered pain
pain on bending,bending related pain
pain on bending,flexion related pain
pain on bending,spinal flexion pain
pain on movement,walking difficulty
pain on movement,difficult to walk
pain on movement,difficulty walking
pain on movement,movement pain
pain on movement,motion induced pain
pain on movement,activity pain
pain on movement,dynamic pain
pain on movement,pain with motion
pain on movement,movement related discomfort
pain on movement,mechanical joint pain
pain on movement,motion discomfort
pain on touch,tenderness
pain on touch,touch sensitivity
pain on touch,palpation pain
pain on touch,tactile pain
pain on touch,painful to touch
pain on touch,localized tenderness
pain on touch,pressure sensitivity
pain on touch,touch induced pain
pain passing stool,painful defecation
pain passing stool,defecation pain
pain passing stool,rectal pain defecation
pain passing stool,anal pain defecation
pain passing stool,dyschezia
pain passing stool,bowel movement pain
pain passing stool,painful bowel movement
pain passing stool,stool passage pain
pain raising arm,arm elevation pain
pain raising arm,shoulder elevation pain
pain raising arm,painful arm lifting
pain raising arm,overhead movement pain
pain raising arm,shoulder impingement pain
pain raising arm,arm abduction pain
pain raising arm,elevation induced pain
pain raising arm,upper arm lifting pain
pain swallowing,odynophagia
pain swallowing,painful swallowing
pain swallowing,swallowing discomfort
pain swallowing,throat pain swallowing
pain swallowing,deglutition pain
pain swallowing,painful deglutition
pain swallowing,esophageal pain swallowing
pain swallowing,swallowing related pain
pain wrist extension,wrist extension pain
pain wrist extension,dorsal wrist pain
pain wrist extension,pain with wrist extension
pain wrist extension,extensor tendon pain
pain wrist extension,wrist extensor strain
pain wrist extension,extension induced wrist pain
pain wrist extension,wrist movement pain
pain wrist extension,wrist dorsiflexion pain
painful blisters,tender blisters
painful blisters,sore vesicles
painful blisters,blister pain
painful blisters,inflamed blisters
painful blisters,painful skin vesicles
painful blisters,burning blisters
painful blisters,irritated blisters
painful blisters,blister tenderness
painful periods,dysmenorrhea
painful periods,menstrual cramps
painful periods,period pain
painful periods,uterine cramps
painful periods,severe menstrual pain
painful periods,cramping menstruation
painful periods,lower abdominal cramps
painful periods,menstrual discomfort
painful rash,tender rash
painful rash,sore rash
painful rash,inflamed rash
painful rash,burning rash
painful rash,irritated rash
painful rash,sensitive skin eruption
painful rash,rash tenderness
painful rash,erythematous painful rash
painful swallowing,odynophagia
painful swallowing,swallowing pain
painful swallowing,throat pain swallowing
painful swallowing,esophageal discomfort
painful swallowing,painful deglutition
painful swallowing,throat soreness swallowing
painful swallowing,swallowing related discomfort
painful swallowing,pharyngeal pain
painful urination,dysuria
painful urination,urinary pain
painful urination,burning urination
painful urination,micturition pain
painful urination,painful voiding
painful urination,urinary discomfort
painful urination,urethral pain
painful urination,urination pain
pale skin,pallor
pale skin,skin paleness
pale skin,pale complexion
pale skin,reduced skin color
pale skin,skin blanching
pale skin,washed out skin
pale skin,lightened skin tone
pale skin,skin color loss
pale stools,clay colored stools
pale stools,light colored stools
pale stools,acholic stools
pale stools,pale feces
pale stools,putty colored stool
pale stools,colorless stool
pale stools,light bowel movement
pale stools,whitish stools
palpitations,heart flutter
palpitations,racing heart
palpitations,pounding heart
palpitations,irregular heartbeat
palpitations,rapid heartbeat
palpitations,heart pounding
palpitations,cardiac flutter
palpitations,heartbeat awareness
patchy hair loss,focal alopecia
patchy hair loss,spot baldness
patchy hair loss,uneven hair loss
patchy hair loss,localized bald spots
patchy hair loss,circumscribed hair loss
patchy hair loss,patchy alopecia
patchy hair loss,scattered hair loss
patchy hair loss,scalp bald patches
pelvic discomfort,pelvic uneasiness
pelvic discomfort,lower pelvic discomfort
pelvic discomfort,pelvic soreness
pelvic discomfort,pelvic irritation
pelvic discomfort,pelvic heaviness
pelvic discomfort,pelvic tenderness
pelvic discomfort,pelvic pressure discomfort
pelvic discomfort,suprapubic discomfort
pelvic pain,pelvic ache
pelvic pain,lower pelvic pain
pelvic pain,suprapubic pain
pelvic pain,deep pelvic pain
pelvic pain,chronic pelvic pain
pelvic pain,lower abdominal pain
pelvic pain,gynecologic pain
pelvic pain,pelvic tenderness pain
pelvic pressure,pelvic heaviness
pelvic pressure,pelvic fullness
pelvic pressure,suprapubic pressure
pelvic pressure,lower pelvic pressure
pelvic pressure,pelvic tightness
pelvic pressure,pressure in pelvis
pelvic pressure,pelvic compression
pelvic pressure,pelvic bearing down
performance anxiety,stage fright
performance anxiety,situational anxiety
performance anxiety,anticipatory anxiety
performance anxiety,fear of performance
performance anxiety,anxiety before performance
performance anxiety,performance fear
performance anxiety,evaluative anxiety
performance anxiety,social performance anxiety
persistent backache,chronic back pain
persistent backache,ongoing backache
persistent backache,long term back pain
persistent backache,prolonged back discomfort
persistent backache,continuous back pain
persistent backache,lingering backache
persistent backache,recurring back pain
persistent backache,sustained backache
persistent cough,chronic cough
persistent cough,ongoing cough
persistent cough,prolonged coughing
persistent cough,lingering cough
persistent cough,continuous cough
persistent cough,recurring cough
persistent cough,long lasting cough
persistent cough,sustained cough
personality changes,behavioral changes
personality changes,altered behavior
personality changes,character changes
personality changes,mood personality shift
personality changes,behavioral shifts
personality changes,personality alteration
personality changes,temperamental changes
personality changes,change in character
poor concentration,impaired concentration
poor concentration,reduced focus
poor concentration,attention deficit
poor concentration,difficulty focusing
poor concentration,decreased attention
poor concentration,distractibility
poor concentration,concentration impairment
poor concentration,lack of focus
poor depth perception,impaired depth perception
poor depth perception,reduced spatial perception
poor depth perception,depth vision impairment
poor depth perception,spatial judgment difficulty
poor depth perception,limited three dimensional vision
poor depth perception,distance misjudgment
poor depth perception,depth awareness deficit
poor depth perception,stereopsis impairment
poor growth,growth delay
poor growth,stunted growth
poor growth,delayed development
poor growth,growth retardation
poor growth,inadequate growth
poor growth,failure to thrive
poor growth,slowed growth
poor growth,short stature
poor judgment,impaired judgment
poor judgment,faulty judgment
poor judgment,reduced decision making
poor judgment,bad decisions
poor judgment,judgment impairment
poor judgment,risky decision making
poor judgment,poor decision skills
poor judgment,flawed reasoning
poor posture,bad posture
poor posture,slouched posture
poor posture,postural imbalance
poor posture,improper posture
poor posture,hunched posture
poor posture,spinal misalignment
poor posture,rounded shoulders
poor posture,stooped posture
postnasal drip,posterior nasal drip
postnasal drip,throat mucus
postnasal drip,nasal mucus drainage
postnasal drip,mucus dripping throat
postnasal drip,chronic throat clearing
postnasal drip,upper airway drainage
postnasal drip,nasal discharge throat
postnasal drip,pharyngeal mucus
productive cough,wet cough
productive cough,phlegmy cough
productive cough,mucus cough
productive cough,sputum producing cough
productive cough,chesty cough
productive cough,expectorating cough
productive cough,cough with sputum
productive cough,loose cough
prolonged bleeding,extended bleeding
prolonged bleeding,persistent bleeding
prolonged bleeding,long lasting bleeding
prolonged bleeding,continuous bleeding
prolonged bleeding,delayed clotting
prolonged bleeding,excessive duration bleeding
prolonged bleeding,sustained blood loss
prolonged bleeding,abnormal prolonged bleeding
purple rash,purplish rash
purple rash,violaceous rash
purple rash,petechial rash
purple rash,purpuric rash
purple rash,dark red rash
purple rash,hemorrhagic rash
purple rash,bruise like rash
purple rash,non blanching rash
pus bumps,pustules
pus bumps,pus filled lesions
pus bumps,purulent bumps
pus bumps,infected bumps
pus bumps,suppurative lesions
pus bumps,whitehead lesions
pus bumps,purulent papules
pus bumps,inflamed pustules
pus collection,abscess
pus collection,purulent collection
pus collection,localized abscess
pus collection,pocket of pus
pus collection,infected fluid collection
pus collection,suppurative mass
pus collection,purulent accumulation
pus collection,subcutaneous abscess
pus drainage,purulent discharge
pus drainage,pus exudate
pus drainage,draining abscess
pus drainage,suppurative drainage
pus drainage,purulent leakage
pus drainage,infected drainage
pus drainage,exudative drainage
pus drainage,purulent secretion
racing heartbeat,palpitations
racing heartbeat,pounding heart
racing heartbeat,fluttering heart
racing heartbeat,rapid pulse sensation
racing heartbeat,cardiac flutter
racing heartbeat,heart pounding sensation
racing heartbeat,accelerated heartbeat
racing heartbeat,irregular rapid heartbeat
racing thoughts,rapid thoughts
racing thoughts,fast thinking
racing thoughts,thought acceleration
racing thoughts,intrusive thoughts
racing thoughts,uncontrollable thoughts
racing thoughts,pressured thinking
racing thoughts,mental overactivity
racing thoughts,accelerated thinking
rapid heartbeat,tachycardia
rapid heartbeat,fast pulse
rapid heartbeat,increased heart rate
rapid heartbeat,accelerated pulse
rapid heartbeat,heart racing
rapid heartbeat,elevated heart rate
rapid heartbeat,cardiac acceleration
rapid heartbeat,pounding heartbeat
rash,skin eruption
rash,skin irritation
rash,erythematous eruption
rash,cutaneous eruption
rash,red skin patches
rash,dermatologic eruption
rash,inflamed skin
rash,skin lesions
rectal bleeding,bleeding per rectum
rectal bleeding,anal bleeding
rectal bleeding,lower gastrointestinal bleeding
rectal bleeding,blood from rectum
rectal bleeding,hematochezia
rectal bleeding,bright red bleeding
rectal bleeding,rectal hemorrhage
rectal bleeding,blood in rectum
rectal discomfort,rectal pain
rectal discomfort,anal discomfort
rectal discomfort,rectal soreness
rectal discomfort,anorectal discomfort
rectal discomfort,rectal irritation
rectal discomfort,lower rectal pain
rectal discomfort,rectal unease
rectal discomfort,anal soreness
rectal pain,anal pain
rectal pain,anorectal pain
rectal pain,painful rectum
rectal pain,rectal soreness
rectal pain,rectal ache
rectal pain,lower rectal pain
rectal pain,proctalgia
rectal pain,anal soreness
rectal pain,proctalgia
rectal pain,anorectal pain
rectal pain,rectal soreness
rectal pain,anal discomfort
rectal pain,painful rectum
rectal pain,lower bowel pain
rectal pain,rectal ache
rectal pain,anal canal pain
recurrent abscesses,repeated abscesses
recurrent abscesses,frequent abscess formation
recurrent abscesses,recurring boils
recurrent abscesses,repeated pus collections
recurrent abscesses,chronic abscesses
recurrent abscesses,relapsing abscesses
recurrent abscesses,multiple abscess episodes
recurrent abscesses,recurring skin abscesses
recurrent abscesses,recurring abscesses
recurrent abscesses,repeated boils
recurrent abscesses,chronic abscess formation
recurrent abscesses,relapsing abscesses
recurrent abscesses,frequent pus collections
recurrent abscesses,multiple abscess episodes
recurrent abscesses,recurrent skin boils
recurrent abscesses,abscess recurrence
recurrent fever,repeated fever
recurrent fever,periodic fever
recurrent fever,intermittent fever
recurrent fever,relapsing fever
recurrent fever,recurring pyrexia
recurrent fever,episodic fever
recurrent fever,cyclical fever
recurrent fever,fever episodes
recurrent fever,periodic fever
recurrent fever,intermittent pyrexia
recurrent fever,episodic fever
recurrent fever,relapsing pyrexia
recurrent fever,cyclical fever
recurrent fever,repeated febrile episodes
recurrent fever,fever recurrence
recurrent fever,fluctuating fever
red tonsils,inflamed tonsils
red tonsils,erythematous tonsils
red tonsils,hyperemic tonsils
red tonsils,swollen red tonsils
red tonsils,tonsillar redness
red tonsils,congested tonsils
red tonsils,reddened tonsillar tissue
red tonsils,acute tonsillar inflammation
reduced facial expression,masked facies
reduced facial expression,flat affect
reduced facial expression,diminished facial movement
reduced facial expression,limited facial expression
reduced facial expression,facial immobility
reduced facial expression,expressionless face
reduced facial expression,blunted affect
reduced facial expression,decreased facial animation
reduced facial expression,masked face
reduced facial expression,flat facial affect
reduced facial expression,decreased facial movement
reduced facial expression,expressionless appearance
reduced facial expression,blunted facial affect
reduced facial expression,facial hypomimia
reduced facial expression,limited facial animation
reduced facial expression,reduced mimicry
reduced libido,decreased libido
reduced libido,low sex drive
reduced libido,diminished sexual desire
reduced libido,sexual interest decline
reduced libido,poor libido
reduced libido,reduced sexual interest
reduced libido,libido suppression
reduced libido,sexual drive reduction
reduced movement,hypokinesia
reduced movement,decreased mobility
reduced movement,limited movement
reduced movement,slowed movement
reduced movement,motor slowing
reduced movement,restricted mobility
reduced movement,decreased motor activity
reduced movement,reduced range movement
reduced movement,hypomobility
reduced movement,motor slowing
reduced movement,limited mobility
reduced movement,decreased motor activity
reduced movement,restricted movement
reduced movement,slow movements
reduced movement,reduced motor output
reduced movement,bradykinesia
reduced reflexes,hyporeflexia
reduced reflexes,diminished reflexes
reduced reflexes,weak reflexes
reduced reflexes,decreased reflex response
reduced reflexes,sluggish reflexes
reduced reflexes,impaired reflexes
reduced reflexes,low reflex activity
reduced reflexes,reflex reduction
reduced reflexes,hyporeflexia
reduced reflexes,diminished reflex response
reduced reflexes,weak tendon reflexes
reduced reflexes,sluggish reflex activity
reduced reflexes,decreased reflex action
reduced reflexes,impaired deep reflexes
reduced reflexes,low reflex response
reduced reflexes,reflex suppression
reduced sensation,hypoesthesia
reduced sensation,diminished sensation
reduced sensation,sensory loss
reduced sensation,decreased sensitivity
reduced sensation,impaired sensation
reduced sensation,sensory deficit
reduced sensation,numbness
reduced sensation,lowered tactile perception
reduced smell,hyposmia
reduced smell,diminished smell
reduced smell,decreased olfaction
reduced smell,smell impairment
reduced smell,olfactory reduction
reduced smell,partial smell loss
reduced smell,impaired smell
reduced smell,smell deficit
reduced smell,hyposmia
reduced smell,diminished olfaction
reduced smell,partial anosmia
reduced smell,smell impairment
reduced smell,decreased smell perception
reduced smell,olfactory deficit
reduced smell,weak sense smell
reduced smell,reduced odor detection
resting tremor,tremor at rest
resting tremor,resting shaking
resting tremor,pill rolling tremor
resting tremor,involuntary rest tremor
resting tremor,static tremor
resting tremor,parkinsonian tremor
resting tremor,baseline tremor
resting tremor,idle tremor
restlessness,agitation
restlessness,motor restlessness
restlessness,inability to relax
restlessness,constant movement
restlessness,fidgeting
restlessness,nervous agitation
restlessness,inner restlessness
restlessness,hyperactivity
ring shaped rash,annular rash
ring shaped rash,circular rash
ring shaped rash,ringlike eruption
ring shaped rash,central clearing rash
ring shaped rash,annular lesion
ring shaped rash,targetoid rash
ring shaped rash,round skin lesion
ring shaped rash,ring pattern rash
ringing ears,tinnitus
ringing ears,ear buzzing
ringing ears,ear humming
ringing ears,persistent ear noise
ringing ears,phantom ear sounds
ringing ears,auditory ringing
ringing ears,high pitched ear noise
ringing ears,continuous ear ringing
risky behavior,impulsive behavior
risky behavior,reckless actions
risky behavior,dangerous conduct
risky behavior,thrill seeking
risky behavior,high risk activity
risky behavior,hazardous behavior
risky behavior,poor risk judgment
risky behavior,unsafe actions
runny nose,rhinorrhea
runny nose,nasal discharge
runny nose,nasal drainage
runny nose,watery nasal discharge
runny nose,dripping nose
runny nose,nasal fluid
runny nose,excess nasal mucus
runny nose,nose drainage
sandpaper rash,fine rough rash
sandpaper rash,rough textured rash
sandpaper rash,scarlatiniform rash
sandpaper rash,coarse skin rash
sandpaper rash,gritty skin eruption
sandpaper rash,diffuse rough rash
sandpaper rash,textured erythematous rash
sandpaper rash,fine papular rash
scalp itching,itchy scalp
scalp itching,scalp pruritus
scalp itching,head itching
scalp itching,scalp irritation
scalp itching,persistent scalp itch
scalp itching,irritated scalp
scalp itching,scalp discomfort
scalp itching,itchy head skin
scalp redness,red scalp
scalp redness,scalp erythema
scalp redness,inflamed scalp
scalp redness,reddened scalp
scalp redness,irritated scalp skin
scalp redness,scalp inflammation
scalp redness,localized scalp redness
scalp redness,warm scalp
scalp scaling,flaky scalp
scalp scaling,dandruff
scalp scaling,scalp flaking
scalp scaling,scaly scalp
scalp scaling,scalp desquamation
scalp scaling,scalp crusting
scalp scaling,dry scalp flakes
scalp scaling,scaling head skin
scalp tightness,tight scalp
scalp tightness,scalp tension
scalp tightness,scalp pressure
scalp tightness,constricted scalp feeling
scalp tightness,head skin tightness
scalp tightness,scalp discomfort tightness
scalp tightness,scalp stiffness
scalp tightness,pulling scalp sensation
scaly skin,dry rough skin
scaly skin,desquamating skin
scaly skin,peeling skin
scaly skin,rough patches
scaly skin,keratotic skin
scaly skin,hyperkeratotic patches
scarring,scar formation
scarring,fibrotic scarring
scarring,tissue scarring
scarring,scar tissue
scarring,skin fibrosis
scarring,cicatrization
scarring,permanent scarring
scarring,healed scar tissue
seizures,convulsions
seizures,epileptic fits
seizures,seizure episodes
seizures,tonic clonic episodes
seizures,involuntary convulsions
seizures,paroxysmal events
seizures,epileptic attacks
seizures,fit episodes
severe cough,intense cough
severe cough,violent cough
severe cough,harsh persistent cough
severe cough,debilitating cough
severe cough,extreme coughing
severe cough,forceful cough
severe cough,bad cough
severe cough,heavy coughing
severe dehydration,acute dehydration
severe dehydration,profound dehydration
severe dehydration,extreme fluid loss
severe dehydration,critical dehydration
severe dehydration,marked dehydration
severe dehydration,advanced dehydration
severe dehydration,significant fluid deficit
severe dehydration,extreme hypovolemia
severe flank pain,intense flank pain
